collective,num_nodes,num_gpus,size_bytes,algo,proto,nchannels,requested_algo,requested_proto,substituted,time_ip_us,busbw_ip,time_oop_us,busbw_oop,n_repeats,spread_pct,count,data_type,redop,algbw_ip,algbw_oop,errors_ip,errors_oop
all_reduce_perf,1,8,8192,TREE,LL,48,TREE,LL,0,6.29,0.62,14.27,0.53,3,15.103338632750402,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,8192,TREE,LL,56,TREE,LL,0,5.94,0.61,13.89,0.53,3,12.626262626262625,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,1,RING,LL,0,5.74,1.05,14.48,0.8,3,2.4390243902438966,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,2,RING,LL,0,5.9,1.07,15.41,0.75,3,3.5593220338983045,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,4,RING,LL,0,5.92,1.06,12.9,0.85,3,3.040540540540536,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,8,RING,LL,0,6.58,1.02,19.15,0.74,3,12.46200607902736,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,16,RING,LL,0,5.89,1.03,18.53,0.76,3,30.5602716468591,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,24,RING,LL,0,5.98,1.03,19.85,0.75,3,3.3444816053511732,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,32,RING,LL,0,6.4,1.02,15.81,0.8,3,6.250000000000005,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,40,RING,LL,0,6.06,1.04,17.1,0.79,3,6.765676567656769,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,48,RING,LL,0,5.98,1.03,15.38,0.81,3,2.8428093645484935,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,LL,56,RING,LL,0,6.09,1.03,16.94,0.75,3,7.224958949096886,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,1,RING,SIMPLE,0,6.23,0.67,18.79,0.57,3,13.804173354735157,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,2,RING,SIMPLE,0,5.86,0.64,17.07,0.56,3,4.948805460750854,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,4,RING,SIMPLE,0,5.64,0.64,18.39,0.57,3,12.943262411347511,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,8,RING,SIMPLE,0,5.9,0.63,11.68,0.58,3,3.7288135593220293,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,16,RING,SIMPLE,0,5.87,0.63,17.22,0.56,3,1.3628620102214664,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,24,RING,SIMPLE,0,5.82,0.64,8.31,0.6,3,2.9209621993127133,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,32,RING,SIMPLE,0,5.92,0.62,14.37,0.59,3,0.5067567567567609,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,40,RING,SIMPLE,0,5.78,0.64,16.7,0.54,3,12.629757785467119,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,48,RING,SIMPLE,0,5.75,0.64,10.17,0.57,3,13.043478260869565,1024,float,sum,0.09,0.08,0,0
all_reduce_perf,1,8,16384,RING,SIMPLE,56,RING,SIMPLE,0,5.8,0.64,15.31,0.54,3,11.896551724137938,1024,float,sum,0.09,0.08,0,0
